repo_id,address,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
136,atlascommunity/jira-plugins-groovy,701,397,2,0,0,9,0,7
137,babyfish-ct/babyfish,1689,1364,0,1,1,0,0,495
138,ballerina-platform/ballerina-lang,11818,4264,3,0,78,223,61,19
139,bbejeck/sql-for-lucene,63,27,1,1,34,5,3,4
140,bitnine-oss/octopus,216,156,1,0,2,44,0,0
141,bkiers/Liqp,238,183,0,1,0,0,0,44
142,bkiers/Mu,86,3,0,1,0,0,0,19
143,bkiers/ecmascript-parser,36,6,0,0,1,0,0,0
144,bkiers/pcre-parser,105,3,0,0,0,0,0,0
145,bkiers/rrd-antlr4,46,6,0,1,0,0,0,61
146,bkiers/tiny-language-antlr4,38,8,0,2,0,0,0,33
147,blindpirate/the-definitive-antlr4-reference-code,62,0,0,0,0,0,0,0
148,bohnman/squiggly,161,100,0,1,0,0,0,1
149,boothen/Json-Eclipse-Plugin,225,61,0,7,0,0,0,26
150,bootsrc/apidoc4j,80,41,1,6,1,0,0,12
151,bozsahin/ceng444,184,10,0,1,0,0,0,0
152,brettwooldridge/jet,75,0,0,0,0,0,0,0
153,brunocvcunha/mdmlang,56,20,1,0,1,0,0,0
154,btrplace/scheduler,1041,852,0,1,0,0,0,17
155,buildpal/buildpal-platform,152,102,0,1,0,0,0,13
156,byuccl/RapidSmith2,621,258,2,0,84,32,32,2
157,camertron/SQLParser,101,4,0,0,0,0,0,0
158,carrotsearch/hppc,172,114,0,1,0,0,0,11
159,castlemock/castlemock,1367,1037,0,0,0,0,0,0
160,cesquivias/mumbler,124,67,0,1,0,0,0,8
161,cfparser/cfparser,853,273,0,2,1,1,1,89
162,chanedi/QuickProject,157,87,1,0,4,0,0,0
163,charite/jannovar,885,679,1,0,0,29,0,0
164,checkstyle/checkstyle,2870,2151,0,0,0,0,0,146
165,claw-project/claw-compiler,886,162,0,0,0,0,0,0
166,clnhlzmn/CopperKitten,172,8,0,0,0,0,0,0
167,clouditor/clouditor,412,163,0,4,0,0,0,11
168,cmu-able/rainbow,3344,1865,0,1,0,1,0,76
169,codelion/gramtest,44,5,0,1,0,0,0,13
170,codice/alliance,921,527,0,0,25,22,16,0
171,collectionspace/services,3157,964,1,0,0,56,0,0
172,colomoto/bioLQM,301,227,6,0,0,24,0,0
173,confluentinc/ksql,2741,1680,0,2,0,0,0,363
174,cqframework/clinical_quality_language,1247,179,0,5,0,0,0,287
175,crate/crate,4958,4467,1,2,0,5,0,974
176,crossminer/scava,13680,3062,0,0,0,0,0,44
177,crossmob/CrossMobile,3961,1356,5,0,5,13,5,0
178,cyberthinkers/typescript-to-scala-js-facade,65,7,0,0,0,0,0,0
179,cytosm/cytosm,275,193,0,6,0,0,0,90
180,daimor/NBStudio,277,106,2,0,21,10,10,0
181,dapeng-soa/dapeng-soa,699,492,0,0,0,0,0,0
182,daqcri/rheem,720,630,0,1,0,0,0,6
183,data-integrations/wrangler,601,441,0,1,0,0,0,17
184,datasphere-oss/datasphere-service,1423,1371,0,35,0,0,0,48
185,datathings/greycat,1136,801,0,0,0,0,0,2
186,dbiir/rainbow,3344,1865,0,1,0,1,0,76
187,debezium/debezium,862,600,16,0,41,19,14,6
188,defano/wyldcard,913,750,0,1,0,0,0,494
189,developeron29/PLSQLParser,36,3,0,0,0,0,0,0
190,devinfrench/runelite-ext,1921,1479,2,0,12,4,0,0
191,dhis2/dhis2-core,6746,3485,1,1,1,0,0,0
192,diqube/diqube,1013,731,0,7,0,0,0,20
193,dma-ais/AisLib,452,377,0,2,0,0,0,81
194,donatellosantoro/Llunatic,2907,832,0,0,0,0,0,18
195,doov-io/doov,1943,538,1,0,1,0,0,3
196,dst-project/dst,230,166,1,0,34,0,0,0
197,dungba88/libra,155,118,0,1,0,0,0,25
198,eBay/Eagle,1199,684,0,0,0,0,0,0
199,ebean-orm/ebean,3163,2919,1,0,19,5,5,33
200,eclecticlogic/stepper,114,55,2,4,1,0,0,35
201,eclipse/jnosql,1019,867,2,0,3,37,0,0
202,eclipse/titan.EclipsePlug-ins,4190,2199,0,0,0,0,0,12
203,eclipse/winery,2608,961,0,15,0,0,0,52
204,ehrbase/ehrbase,1873,530,2,1,4,16,4,5
205,elastic/elasticsearch,17468,12266,1,2,0,4,0,175
206,er-lang/er,199,0,0,0,0,0,0,0
207,ethereumj/ethereumj,534,194,0,1,0,0,0,45
208,eugenp/tutorials,20141,11113,2,0,5,1,1,11
209,exense/step,992,629,0,2,0,0,0,14
210,eyob--/j2swift,38,7,1,0,62,62,61,0
211,fang-yan-peng/badger,216,179,0,0,0,0,0,0
212,fbacchella/LogHub,386,238,1,0,22,25,14,0
213,fizzed/rocker,328,136,2,0,21,8,8,0
214,flashpixx/RRD-ANTLR4,98,41,0,2,0,0,0,0
215,fooock/robots.txt,173,43,0,0,0,0,0,0
216,ftomassetti/antlr-plus,69,27,0,0,0,0,0,0
217,ftomassetti/python-ast,80,3,0,0,0,0,0,0
218,ftomassetti/turin-programming-language,426,265,0,0,0,0,0,0
219,gburdell/parser,217,69,0,0,0,0,0,0
220,georocket/georocket,379,204,2,0,19,14,14,1
221,geosolutions-it/jai-ext,792,578,1,0,6,77,11,0
222,goldmansachs/jdmn,2223,1196,0,0,0,0,0,0
223,google/graphicsfuzz,1561,608,0,1,1,1,1,439
224,graalvm/simplelanguage,259,102,0,0,0,0,0,2
225,graalvm/sulong,2541,813,0,0,0,0,0,7
226,graknlabs/graql,121,57,0,1,0,0,0,44
227,graphql-java/graphql-java,883,554,0,0,0,0,0,110
228,graphql-java/nadel,191,105,0,0,0,0,0,15
229,gretard/sonar-tsql-plugin,252,143,0,0,0,0,0,1
230,groovy/groovy-eclipse,14729,12307,0,1,192,187,187,1220
231,grosenberg/fluentmark,381,228,2,0,2,0,0,0
232,groupon/monsoon,674,486,0,0,0,0,0,0
233,guidosalva/reactive-inspector,190,75,0,2,0,0,0,12
234,gvlasov/inflectible,210,165,1,0,3,0,0,0
235,haku/dlnatoad,90,58,1,0,1,3,1,0
236,harbby/sylph,477,264,0,1,0,0,0,19
237,hawkular/hawkular-alerts,542,253,1,0,1,1,1,1
238,hawkular/hawkular-metrics,421,270,1,0,1,2,0,0
239,herrmanntom/setlX,1277,458,0,0,0,0,0,0
240,hibernate/hibernate-hql-parser,180,116,1,0,2,6,2,0
241,iamazy/elasticsearch-sql,180,121,0,0,0,0,0,0
242,icode/ameba,301,241,1,0,1,6,1,0
243,infraling/atomic,1058,112,1,0,8,0,0,0
244,intuit/karate,908,463,1,0,4,0,0,0
245,ivanyu/logical-rules-parser-antlr,106,24,1,0,3,15,2,0
246,jAngBridge/ts-parser,121,25,0,0,0,0,0,0
247,jaeksoft/opensearchserver,1990,1111,1,0,0,0,0,0
248,janyou/ANTLR-Swift-Target,58,17,0,0,0,0,0,0
249,java-decompiler/jd-gui,357,222,1,0,0,0,0,4
250,javamonkey/beetl2.0,697,387,0,0,0,0,0,0
251,jbclements/rust-antlr,40,0,0,0,0,0,0,0
252,jbotsim/JBotSim,424,236,0,1,0,0,0,14
253,jcoplien/trygve,377,100,2,0,33,64,33,2
254,jdbi/jdbi,1084,844,0,0,0,0,0,0
255,jenkinsci/credentials-plugin,506,129,1,0,0,7,0,1
256,jknack/handlebars.java,540,380,2,2,24,6,4,33
257,jkschneider/graphql-gremlin,60,20,1,0,8,4,4,0
258,jplag/jplag,392,180,0,0,60,26,25,35
259,json-template/JsonTemplate,92,62,1,0,15,6,6,0
